ROW,COL,CELL_ID,CountyName,CountyNum,GCD_Name,GCD_Num,GCD_Name_1,GCD_Num_1,GCD_Name_2,GCD_Num_2,BasinName,BasinNum,IBND1,CentroidX,CentroidY,uGCD,GMA,PGMA,RA_SLD,REG_NAME,LETTER,REG_NUM,AQ_Active1
43,5,1043005,"Hays",105,"Barton Spring Edwards CD",17," ",0,"Edwards Aquifer Authority",35,"COLORADO",14,0,5555774.99274,19254741.0183," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,0
43,6,1043006,"Hays",105,"Barton Spring Edwards CD",17," ",0,"Edwards Aquifer Authority",35,"COLORADO",14,0,5556482.09953,19255448.1251," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,0
43,7,1043007,"Hays",105,"Barton Spring Edwards CD",17," ",0,"Edwards Aquifer Authority",35,"COLORADO",14,0,5557189.20631,19256155.2318," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,0
43,8,1043008,"Hays",105,"Barton Spring Edwards CD",17," ",0,"Edwards Aquifer Authority",35,"COLORADO",14,0,5557896.31309,19256862.3386," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,0
43,9,1043009,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,0,5558603.41987,19257569.4454," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,0
43,10,1043010,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5559310.52665,19258276.5522," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,11,1043011,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5560017.63343,19258983.659," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,12,1043012,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5560724.74021,19259690.7658," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,13,1043013,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5561431.84699,19260397.8725," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,14,1043014,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5562138.95378,19261104.9793," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
